Min,Max,Median,Mean,Point_id
0.21004099,0.8152527,0.77327424,0.7193944,29901728
0.09704881,0.12412931,0.10852256,0.10859843,29921720
0.16006339,0.214068,0.19342545,0.19084425,29921750
0.12401884,0.39585316,0.1359093,0.15592264,29921768
0.20821373,0.30865434,0.25450274,0.25521624,29922134
0.2746547,0.47565725,0.34113953,0.35295993,29941668
0.18259935,0.30644506,0.24892624,0.24696086,29941704
0.13067125,0.1872645,0.14142922,0.14221822,29941718
0.65949035,0.7977528,0.71846974,0.7144666,29321704
0.55418944,0.6542404,0.6093055,0.60740364,29582082
0.0030633735,0.03284808,0.015656326,0.015810076,29681884
0.26149282,0.48183897,0.32074508,0.3309721,29862118
0.384069,0.89485925,0.83560264,0.7907321,30262286
0.25716168,0.74097365,0.66786355,0.61817485,30562176
0.19677219,0.2771739,0.23027205,0.23332442,30902260
0.17305699,0.41956243,0.32456535,0.32214713,33102118
0.4076539,0.6611526,0.552683,0.5568866,29941942
0.3617674,0.6392846,0.51659596,0.50432646,29942204
0.39160717,0.63579345,0.5137644,0.52019626,29961684
0.00062305294,0.2556985,0.16790473,0.1616471,29961846
0.2239474,0.3084872,0.2534758,0.25798038,29981698
0.21068703,0.27495134,0.23328786,0.23550472,29981716
0.5717001,0.8031746,0.73261195,0.7274191,29981730
0.35626537,0.51434106,0.41796803,0.42187986,30001684
0.1704238,0.22732876,0.17902003,0.18229869,30001728
0.2641173,0.39275998,0.30553842,0.3073619,30001764
0.8488889,0.93825144,0.9249218,0.92170197,30002092
0.11514393,0.30852106,0.17351761,0.17990386,30002236
0.1461446,0.33344984,0.27892527,0.26741856,30041718
0.13308844,0.15605141,0.14435406,0.14430396,30042136
0.536996,0.71099627,0.58041656,0.5919345,30042190
0.19004384,0.5384245,0.48488292,0.44861346,30061648
0.27843955,0.4617672,0.37679964,0.36912522,30061696
0.3021782,0.6380544,0.513052,0.5034999,30062074
0.1421155,0.17837292,0.16049582,0.16090825,30062134
0.35770342,0.5612132,0.5146386,0.4977785,30062254
0.23758182,0.35429263,0.28663895,0.28642616,30081718
0.17747118,0.41324154,0.30340055,0.31652746,30081758
0.627451,0.8142077,0.7636652,0.75208366,30082096
0.13756236,0.3048919,0.20635697,0.20880103,30082172
0.34383637,0.57508653,0.39966923,0.40103206,30082276
0.37785468,0.55060595,0.4736671,0.4700028,30082312
0.29543498,0.7048276,0.5665529,0.5465255,30101810
0.24976958,0.4050427,0.37907025,0.3716433,30102138
0.04713376,0.34053275,0.1611686,0.15672785,30102146
0.15679562,0.6646909,0.5354003,0.5069481,30102164
0.18827161,0.39514926,0.24935555,0.26331598,30121708
0.15268818,0.44940478,0.2069569,0.24265793,30121722
0.45172563,0.6375389,0.55795264,0.5484445,30121830
0.37996644,0.78548527,0.66054475,0.6098255,30122252
0.22318545,0.55493295,0.38293216,0.38853163,30122294
0.2578168,0.38869947,0.33739936,0.33269873,30141756
0.46612245,0.76963353,0.69325155,0.68745166,30142092
0.30341423,0.81120616,0.6327364,0.6128322,30142128
0.80589956,0.88129133,0.83675575,0.8367914,30142178
0.3305542,0.47512364,0.38777608,0.3884463,30142296
0.3653115,0.5569772,0.4220238,0.4260904,30142308
0.16976652,0.31505555,0.23982623,0.24024804,30161670
0.21901792,0.33731088,0.27131465,0.27245605,30161680
0.14877239,0.29643345,0.21499102,0.21463102,30161688
0.46323994,0.7745057,0.7001756,0.6771911,30161760
0.3077498,0.8247619,0.4300437,0.47671726,30162126
0.15279503,0.30318502,0.22125438,0.22253877,30162130
0.1957704,0.24631937,0.22306718,0.2218148,30162148
0.31820315,0.71657395,0.6633035,0.64699537,30162202
0.1949807,0.42480844,0.3517916,0.3448991,30181738
0.5778364,0.67990375,0.63131315,0.6308151,30181858
0.5220202,0.7653773,0.71359646,0.69389576,30182170
0.11607717,0.33760595,0.13894737,0.14239639,30182196
0.33832878,0.6355323,0.45901006,0.4449268,30182218
0.15247728,0.45069167,0.24353226,0.23823264,30201726
0.37929446,0.80536205,0.56484604,0.5894282,30201748
0.16545992,0.27685326,0.18573798,0.1925882,30202130
0.24281535,0.32872927,0.29508334,0.2927717,30202148
0.11814522,0.17962116,0.16204354,0.15871657,30202184
0.44709504,0.87497497,0.77758914,0.77227575,30202188
0.2167939,0.51677054,0.41430163,0.41273287,30202206
0.62334675,0.80525273,0.7206553,0.7191247,30202248
0.2293411,0.3247254,0.27748114,0.27869487,30202274
0.12066221,0.44307092,0.1311972,0.14933954,30202278
0.10292887,0.17515638,0.11134721,0.113817215,30202284
